trip_id,start_time,end_time,headway_secs
COOP_CA123_R (06-30-00),06:30:00,08:00:00,518
COOP_CA123_R (08-00-00),08:00:00,09:00:00,518
COOP_CA123_R (09-00-00),09:00:00,11:00:00,518
COOP_CA123_R (11-00-00),11:00:00,13:00:00,518
COOP_CA123_R (13-00-00),13:00:00,15:00:00,518
COOP_CA123_R (15-00-00),15:00:00,17:00:00,518
COOP_CA123_R (17-00-00),17:00:00,19:00:00,518
COOP_CA123_R (19-00-00),19:00:00,21:00:00,518
COOP_CA123_R (21-00-00),21:00:00,23:00:00,518
COOP_CA125_O (06-30-00),06:30:00,08:00:00,2022
COOP_CA125_O (08-00-00),08:00:00,09:00:00,2022
COOP_CA125_O (09-00-00),09:00:00,11:00:00,2022
COOP_CA125_O (11-00-00),11:00:00,13:00:00,2022
COOP_CA125_O (13-00-00),13:00:00,15:00:00,2022
COOP_CA125_O (15-00-00),15:00:00,17:00:00,2022
COOP_CA125_O (17-00-00),17:00:00,19:00:00,2022
COOP_CA125_O (19-00-00),19:00:00,21:00:00,2022
COOP_CA125_O (21-00-00),21:00:00,23:00:00,2022
COOP_GZ006_O (06-30-00),06:30:00,08:00:00,294
COOP_GZ006_O (08-00-00),08:00:00,09:00:00,294
COOP_GZ006_O (09-00-00),09:00:00,11:00:00,294
COOP_GZ006_O (11-00-00),11:00:00,13:00:00,294
COOP_GZ006_O (13-00-00),13:00:00,15:00:00,294
COOP_GZ006_O (15-00-00),15:00:00,17:00:00,294
COOP_GZ006_O (17-00-00),17:00:00,19:00:00,294
COOP_GZ006_O (19-00-00),19:00:00,21:00:00,294
COOP_GZ006_O (21-00-00),21:00:00,23:00:00,294
COOP_GZ009_R (06-30-00),06:30:00,08:00:00,1290
COOP_GZ009_R (08-00-00),08:00:00,09:00:00,1290
COOP_GZ009_R (09-00-00),09:00:00,11:00:00,1290
COOP_GZ009_R (11-00-00),11:00:00,13:00:00,1290
COOP_GZ009_R (13-00-00),13:00:00,15:00:00,1290
COOP_GZ009_R (15-00-00),15:00:00,17:00:00,1290
COOP_GZ009_R (17-00-00),17:00:00,19:00:00,1290
COOP_GZ009_R (19-00-00),19:00:00,21:00:00,1290
COOP_GZ009_R (21-00-00),21:00:00,23:00:00,1290
COOP_GZ011_O (06-30-00),06:30:00,08:00:00,1618
COOP_GZ011_O (08-00-00),08:00:00,09:00:00,1618
COOP_GZ011_O (09-00-00),09:00:00,11:00:00,1618
COOP_GZ011_O (11-00-00),11:00:00,13:00:00,1618
COOP_GZ011_O (13-00-00),13:00:00,15:00:00,1618
COOP_GZ011_O (15-00-00),15:00:00,17:00:00,1618
COOP_GZ011_O (17-00-00),17:00:00,19:00:00,1618
COOP_GZ011_O (19-00-00),19:00:00,21:00:00,1618
COOP_GZ011_O (21-00-00),21:00:00,23:00:00,1618
COOP_GZ011_R (06-30-00),06:30:00,08:00:00,1618
COOP_GZ011_R (08-00-00),08:00:00,09:00:00,1618
COOP_GZ011_R (09-00-00),09:00:00,11:00:00,1618
COOP_GZ011_R (11-00-00),11:00:00,13:00:00,1618
COOP_GZ011_R (13-00-00),13:00:00,15:00:00,1618
COOP_GZ011_R (15-00-00),15:00:00,17:00:00,1618
COOP_GZ011_R (17-00-00),17:00:00,19:00:00,1618
COOP_GZ011_R (19-00-00),19:00:00,21:00:00,1618
COOP_GZ011_R (21-00-00),21:00:00,23:00:00,1618
COOP_GZ016_O (06-30-00),06:30:00,08:00:00,520
COOP_GZ016_O (08-00-00),08:00:00,09:00:00,520
COOP_GZ016_O (09-00-00),09:00:00,11:00:00,520
COOP_GZ016_O (11-00-00),11:00:00,13:00:00,520
COOP_GZ016_O (13-00-00),13:00:00,15:00:00,520
COOP_GZ016_O (15-00-00),15:00:00,17:00:00,520
COOP_GZ016_O (17-00-00),17:00:00,19:00:00,520
COOP_GZ016_O (19-00-00),19:00:00,21:00:00,520
COOP_GZ016_O (21-00-00),21:00:00,23:00:00,520
COOP_GZ016_R (06-30-00),06:30:00,08:00:00,520
COOP_GZ016_R (08-00-00),08:00:00,09:00:00,520
COOP_GZ016_R (09-00-00),09:00:00,11:00:00,520
COOP_GZ016_R (11-00-00),11:00:00,13:00:00,520
COOP_GZ016_R (13-00-00),13:00:00,15:00:00,520
COOP_GZ016_R (15-00-00),15:00:00,17:00:00,520
COOP_GZ016_R (17-00-00),17:00:00,19:00:00,520
COOP_GZ016_R (19-00-00),19:00:00,21:00:00,520
COOP_GZ016_R (21-00-00),21:00:00,23:00:00,520
COOP_GZ019_R (06-30-00),06:30:00,08:00:00,444
COOP_GZ019_R (08-00-00),08:00:00,09:00:00,444
COOP_GZ019_R (09-00-00),09:00:00,11:00:00,444
COOP_GZ019_R (11-00-00),11:00:00,13:00:00,444
COOP_GZ019_R (13-00-00),13:00:00,15:00:00,444
COOP_GZ019_R (15-00-00),15:00:00,17:00:00,444
COOP_GZ019_R (17-00-00),17:00:00,19:00:00,444
COOP_GZ019_R (19-00-00),19:00:00,21:00:00,444
COOP_GZ019_R (21-00-00),21:00:00,23:00:00,444
COOP_GZ028_O (06-30-00),06:30:00,08:00:00,2127
COOP_GZ028_O (08-00-00),08:00:00,09:00:00,2127
COOP_GZ028_O (09-00-00),09:00:00,11:00:00,2127
COOP_GZ028_O (11-00-00),11:00:00,13:00:00,2127
COOP_GZ028_O (13-00-00),13:00:00,15:00:00,2127
COOP_GZ028_O (15-00-00),15:00:00,17:00:00,2127
COOP_GZ028_O (17-00-00),17:00:00,19:00:00,2127
COOP_GZ028_O (19-00-00),19:00:00,21:00:00,2127
COOP_GZ028_O (21-00-00),21:00:00,23:00:00,2127
COOP_GZ028_R (06-30-00),06:30:00,08:00:00,2127
COOP_GZ028_R (08-00-00),08:00:00,09:00:00,2127
COOP_GZ028_R (09-00-00),09:00:00,11:00:00,2127
COOP_GZ028_R (11-00-00),11:00:00,13:00:00,2127
COOP_GZ028_R (13-00-00),13:00:00,15:00:00,2127
COOP_GZ028_R (15-00-00),15:00:00,17:00:00,2127
COOP_GZ028_R (17-00-00),17:00:00,19:00:00,2127
COOP_GZ028_R (19-00-00),19:00:00,21:00:00,2127
COOP_GZ028_R (21-00-00),21:00:00,23:00:00,2127
COOP_GZ029_O (06-30-00),06:30:00,08:00:00,2652
COOP_GZ029_O (08-00-00),08:00:00,09:00:00,2652
COOP_GZ029_O (09-00-00),09:00:00,11:00:00,2652
COOP_GZ029_O (11-00-00),11:00:00,13:00:00,2652
COOP_GZ029_O (13-00-00),13:00:00,15:00:00,2652
COOP_GZ029_O (15-00-00),15:00:00,17:00:00,2652
COOP_GZ029_O (17-00-00),17:00:00,19:00:00,2652
COOP_GZ029_O (19-00-00),19:00:00,21:00:00,2652
COOP_GZ029_O (21-00-00),21:00:00,23:00:00,2652
COOP_GZ029_R (06-30-00),06:30:00,08:00:00,2652
COOP_GZ029_R (08-00-00),08:00:00,09:00:00,2652
COOP_GZ029_R (09-00-00),09:00:00,11:00:00,2652
COOP_GZ029_R (11-00-00),11:00:00,13:00:00,2652
COOP_GZ029_R (13-00-00),13:00:00,15:00:00,2652
COOP_GZ029_R (15-00-00),15:00:00,17:00:00,2652
