route_long_name,route_short_name,agency_id,route_desc,route_type,route_id,route_color,route_text_color
10th District (Nasr City)-10th of Ramadan Station (Asher Men Ramadan),CA056,P_O_14,,3,P_O_14_CA056,,
10th District (Nasr City)-7th District (Nasr City),CA050,P_O_14,,3,P_O_14_CA050,,
10th District (Nasr City)-Alf Maskan,CA023,P_O_14,,3,P_O_14_CA023,,
10th District (Nasr City)-Awwel Makram Ebeid,CA055,P_O_14,,3,P_O_14_CA055,,
10th District (Nasr City)-Darassa,80,CTA,,3,CTA_80,,
10th District (Nasr City)-Moneeb,IG027,P_O_14,,3,P_O_14_IG027,,
10th District (Nasr City)-Moneeb Konayyesa,IG025,P_O_14,,3,P_O_14_IG025,,
10th District (Nasr City)-Moqattam,CA052,P_O_14,,3,P_O_14_CA052,,
10th District (Nasr City)-New Marg,CA051,P_O_14,,3,P_O_14_CA051,,
10th District (Nasr City)-Qalyoub Exit,IG026,COOP,,3,COOP_IG026,,
10th District (Nasr City)-Ramses,CA054,P_O_14,,3,P_O_14_CA054,,
10th District (Nasr City)-Zahraa Madinet Nasr,CA053,P_O_14,,3,P_O_14_CA053,,
10th of Ramadan Station (Asher Men Ramadan)-Abd Al Moneim Riad,323,CTA,,3,CTA_323,,
10th of Ramadan Station (Asher Men Ramadan)-Al Sayeda Aisha,CA020,P_O_14,,3,P_O_14_CA020,,
10th of Ramadan Station (Asher Men Ramadan)-Al Zawya Al Hamra,60,CTA_M,,3,CTA_M_60,,
10th of Ramadan Station (Asher Men Ramadan)-Alf Maskan,CA037,P_O_14,,3,P_O_14_CA037,,
10th of Ramadan Station (Asher Men Ramadan)-Alf Maskan,CA038,P_O_14,,3,P_O_14_CA038,,
10th of Ramadan Station (Asher Men Ramadan)-Attaba,106,CTA_M,,3,CTA_M_106,,
10th of Ramadan Station (Asher Men Ramadan)-Awwel Abbas,CA169,P_O_14,,3,P_O_14_CA169,,
10th of Ramadan Station (Asher Men Ramadan)-Awwel Al Banhawi,CA161,P_O_14,,3,P_O_14_CA161,,
10th of Ramadan Station (Asher Men Ramadan)-Awwel Makram Ebeid,CA163,P_O_14,,3,P_O_14_CA163,,
10th of Ramadan Station (Asher Men Ramadan)-Badr,317,CTA,,3,CTA_317,,
10th of Ramadan Station (Asher Men Ramadan)-Bashtil,219,CTA_M,,3,CTA_M_219,,
10th of Ramadan Station (Asher Men Ramadan)-Dawaran Shubra,47,CTA_M,,3,CTA_M_47,,
10th of Ramadan Station (Asher Men Ramadan)-Haram Marioteya,IG037,P_O_14,,3,P_O_14_IG037,,
10th of Ramadan Station (Asher Men Ramadan)-Helwan,CA078,P_O_14,,3,P_O_14_CA078,,
10th of Ramadan Station (Asher Men Ramadan)-Helwan Metro,CA141,P_O_14,,3,P_O_14_CA141,,
10th of Ramadan Station (Asher Men Ramadan)-Imbaba,IG090,P_O_14,,3,P_O_14_IG090,,
10th of Ramadan Station (Asher Men Ramadan)-Khanka,IG085,P_O_14,,3,P_O_14_IG085,,
10th of Ramadan Station (Asher Men Ramadan)-Khanka,IG086,P_O_14,,3,P_O_14_IG086,,
10th of Ramadan Station (Asher Men Ramadan)-Manshiyat Nasser,CA171,P_O_14,,3,P_O_14_CA171,,
10th of Ramadan Station (Asher Men Ramadan)-Marioteya Ring Road,IG093,P_O_14,,3,P_O_14_IG093,,
10th of Ramadan Station (Asher Men Ramadan)-Matareya Square,CA124,P_O_14,,3,P_O_14_CA124,,
