stop_name,stop_id,stop_desc,stop_lat,stop_lon
10th District (Al Hay Al Asher) - Nasr City,averts.hockey.woof,,30.04905,31.378641
10th District (Al Hay Al Asher) - Nasr City,fermented.roosters.slacker,,30.048353,31.379913
10th District (Al Hay Al Asher) - Nasr City,gravitate.singled.plus,,30.049362,31.379839
10th District (Al Hay Al Asher) - Nasr City,iterative.sloping.down,,30.048904,31.37905
10th District (Al Hay Al Asher) - Nasr City,repelled.face.stubble,,30.049112,31.379221
10th District (Al Hay Al Asher) - Nasr City,tinny.regulator.flies,,30.048347,31.380026
10th of Ramadan (Asher Men Ramadan) Station,dabbled.outboard.thinking,,30.154938,31.408575
10th of Ramadan (Asher Men Ramadan) Station,emeralds.hooks.lifestyle,,30.152508,31.409582
10th of Ramadan (Asher Men Ramadan) Station,opened.sulk.motorist,,30.155607,31.409208
10th of Ramadan (Asher Men Ramadan) Station,passage.loaning.camera,,30.15377,31.409103
10th of Ramadan (Asher Men Ramadan) Station,timer.nursery.tingled,,30.153675,31.410835
10th of Ramadan (Asher Men Ramadan) Station,wimp.formation.tuck,,30.154081,31.407724
10th of Ramadan Station - Ismailiya Desert Road,shred.trickster.snuggle,,30.147972,31.420414
10th of Ramadan Station - Ismailiya Desert Road,splashes.cooking.nowadays,,30.148579,31.422678
10th of Ramadan Station - Ismailiya Desert Road,stole.makeup.giggles,,30.147804,31.420515
10th of Ramadan Station - Ismailiya Desert Road,tonal.shopper.campus,,30.14778,31.420828
15th of May Bus Station,awestruck.channel.january,,29.810863,31.378103
15th of May City Authority,gifts.aliens.stud,,29.826609,31.36399
15th of May City Authority,taxpayers.reject.hugs,,29.826471,31.364233
15th of May School - Mostorod,punctual.hurls.crumble,,30.132105,31.282913
15th of May Youth Forum,police.watchdogs.cucumber,,29.831581,31.37835
15th of May Youth Forum,view.epic.access,,29.83146,31.378393
1st Settlement City Authority,army.slug.commenced,,30.052122,31.448147
26th of July Mehwar Exit -  Ring Road,kebab.corrupted.slipping,,30.063845,31.17437
3rd Settlement (Tagamoa Thaleth),gymnasium.cuts.bucket,,29.984001,31.44291
4th Neighbourhood Council - 15th of May,lamplight.withdraw.vent,,29.837914,31.376825
4th Neighbourhood Council - 15th of May,truth.pairings.acids,,29.838324,31.377798
5th Settlement City Authority,moment.tearfully.exulted,,29.993052,31.417614
6th Of October City Authority,guidebook.mango.stiletto,6th of October City Authority 'Westbound',29.98265,30.952312
6th of October Garden - Helwan,autumn.hopes.juggler,,29.840557,31.329374
6th of October Garden - Helwan,mission.stove.convinces,,29.840384,31.32946
7th District Entrance - 6th of October,breathing.tricky.pinches,District 7 Entrance '9pm',29.979986,30.94955
7th District Station (Hay Al Sabea) - Nasr City,bleat.clan.surfacing,,30.041986,31.329441
7th District Ststion (Hay Al Sabea) - Nasr City,fidgeting.lurching.photocopy,,30.042004,31.329632
8th District (Nasr City),monk.committee.ripe,,30.061419,31.380318
8th District (Nasr City),sprays.otherwise.producing,,30.058132,31.379868
8th District - Al Shorouq,broadens.stolen.exhaled,,30.163885,31.605515
8th District - Al Shorouq,yoga.startles.fits,,30.163864,31.605375
Aba Al Kassem Mosque - Autostrad,plotter.disposing.flashback,,29.932928,31.288082
Aba Al Kassem Mosque - Autostrad,rejoiced.flatten.waffle,,29.933023,31.288227
Abageyya Bridge,breed.dimension.streak,,30.01218,31.267265
Abageyya Bus Station,handbag.butternut.permanent,,30.02391,31.263676
Abageyya Bus Station,lecturers.lyrics.response,,30.023933,31.263577
Abbas Al Akkad - Mostafa Al Nahas,craftsman.printouts.facelift,,30.053728,31.338633
Abbas Al Akkad - Mostafa Al Nahas,order.cope.bypassed,,30.053904,31.338608
Abbaseya Bridge - Start,claim.sizzled.essential,,30.070488,31.28931
Abbaseya Bridge - Start,conforms.refilled.scored,,30.070402,31.28925
Abbaseya Bridge - Start,digs.parsnip.bill,,30.07054,31.289373
Abbaseya Hospital,hopping.towel.acre,,30.071064,31.294222
Abbaseya Hospital,shares.flitting.lingering,,30.070976,31.29467
Abbasseya,depravity.alarm.nuptials,,30.073334,31.284698
Abbasseya,intruders.absorb.puncture,,30.073181,31.28507
Abbasseya,outermost.scratches.lows,,30.07275,31.285551
Abbasseya,sheds.blush.dentures,,30.072866,31.285946
Abbasseya,ulterior.bathtubs.charm,,30.07252,31.28438
Abbasseya Bridge - End,skid.themes.jumbled,,30.075361,31.283716
Abbasseya Hospital,circulate.flasks.plotted,,30.068739,31.29217
Abbasseya Square,cocoons.voices.rigid,,30.073889,31.285383
Abbasseya Square,recline.mandolin.salt,,30.074091,31.285456
Abboud,driftwood.galloped.fact,,30.103725,31.256844
Abboud,fracture.trickling.squad,,30.104753,31.255299
Abboud,pace.liberated.blotches,Abboud 'Eastbound',30.104794,31.255758
Abboud,pedicure.cobbled.flops,,30.106146,31.253862
Abboud,speak.altitude.wonderful,,30.105207,31.255527
Abboud,survive.basic.crafts,Abboud 'Westbound',30.104145,31.253746
Abboud,undercuts.watched.tonsils,,30.103617,31.255857
Abd Al Moneim Riad,automate.spirits.stale,,30.049492,31.231245
Abd Al Moneim Riad,deny.revised.demotion,,30.050043,31.233923
Abd Al Moneim Riad,informal.husky.canyons,,30.05,31.233063
Abd Al Moneim Riad,modifies.silent.scoring,,30.050419,31.23375
Abd Al Moneim Riad,perfected.exit.transcribes,,30.049557,31.234692
Abd Al Moneim Riad,quantity.sunset.cookie,,30.04867,31.232645
Abd Al Moneim Riad,quit.applies.ribcage,,30.050127,31.233873
Abd Al Moneim Riad,scrambles.flukes.spaces,,30.049494,31.231836
Abd Al Moneim Riad,vibe.aunts.shudders,,30.049524,31.234486
Abd El Aziz St - Ataba,finer.coolest.client,,30.050024,31.251093
Abd El Aziz St - Ataba,thunder.reckons.deleting,,30.049429,31.250246
Abdeen,bookcases.message.area,,30.04115,31.245586
Abdel Menaam Reyad Mosque - Nile Courniche,converged.beefed.credit,,29.937511,31.276367
Abdel Menaam Reyad Mosque - Nile Courniche,sank.helm.stupidly,,29.937572,31.276457
Abdo Basha,doses.stammer.slicing,,30.06539,31.27671
Abdo Basha,happy.wizard.panicking,,30.065369,31.276976
Abdullah Al Othaym - Nile Courniche,airtime.liberty.durations,,29.882502,31.289268
Abdullah Al Othaym - Nile Courniche,contain.permanent.youths,,29.88251,31.289392
Abdullah El Refaey,dodging.viewers.infringe,,30.160072,31.355534
Abdullah El Refaey,multiply.dented.bookcases,,30.160095,31.355633
Abo Senna Steps,scrum.overgrown.resist,,30.155146,31.229029
Abo Senna Steps,storybook.blaring.buns,,30.155176,31.229177
Abo Sir Steps - Ring Road,romance.putty.reset,,30.164656,31.388388
Abou Al Farag St- Rod Al Farag St,foiled.conqueror.passports,,30.081596,31.236872
Abou Al Majd Center - Mostorod,birthdays.paves.rocks,,30.126974,31.28783
Abou Al Majd Center - Mostorod,continues.raves.rezoning,,30.12676,31.289162
Abou Al Majd Center - Mostorod,influence.dumplings.vibe,,30.126623,31.289328
Abou Al Majd Center - Mostorod,insulated.outline.ember,,30.126709,31.287874
Abou Al Nomros Police Station,sharpens.throwaway.texts,,29.95806,31.212864
Abou Al Reesh,agrees.query.submits,,30.028622,31.234652
Abou Al Reesh,emporium.palms.sends,,30.029097,31.237198
Abou Al Reesh,hurricane.deferring.ideas,,30.028427,31.236984
Abou Al Reesh,redeemed.mingles.solves,,30.028738,31.23476
Abou Al Reesh,televise.optimally.outwards,,30.028158,31.237354
Abou Wafya Bridge,bordering.sprouting.videos,,30.095621,31.26601
Abou Wafya Bus Station,clockwork.nickname.solid,,30.09778,31.255991
Abou Wafya Bus Station,drivers.event.hexes,,30.097773,31.25611
Abou Wafya Bus Station,dweller.apparatus.tenses,,30.09737,31.255863
Abou Zaabal Bridge,angers.kept.cadet,,30.197258,31.318819
Abou Zaabal Bus Station,sideburns.guests.widely,,30.24936,31.354742
Abu Al Houl - Mansoureyya Rd,directly.truckload.title,,29.97892,31.144003
Abu Al Houl - Mansoureyya Rd,weep.science.throat,,29.978842,31.143768
Abu Al Houl Bus Station,tent.cabs.goodness,,29.977411,31.142803
Abu Bakr Al Sedeeq Mosque - Sheraton,budding.passions.inspected,,30.100943,31.37464
Abu Bakr Al Sediq St - Teraat Al Dakat St,trains.facelift.mixture,,30.10337,31.261
Abu El Numrus,develop.duos.seasick,,29.95958,31.231003
Abu Khater - Matareyya,reheat.tabs.hitters,,30.126125,31.297962
Abu Khater - Matareyya,unspoiled.layered.elder,,30.125807,31.298077
Abu Makarem Mosque - Al Waili,scale.delays.locker,,30.05534,31.279602
Abu Rawwash Bus Station,insurers.comments.pupils,,30.045265,31.095053
Abu Rawwash Bus Station,recliner.butternut.rents,,30.045416,31.094893
Abu Rawwash Rd - Al Mansoureyya Rd,ruling.journey.hogs,,30.041054,31.096401
Abu Rawwash Rd - Al Mansoureyya Rd,throwaway.rehearsal.tins,,30.041172,31.096252
Adawy - Nile Courniche,driveways.outfit.scrambles,,29.896675,31.28756
Adawy - Nile Courniche,exonerate.subject.lived,,29.89672,31.28768
Aden St - Sudan St,cashiers.triangles.hesitate,,30.051468,31.191862
Aden St - Sudan St,unhelpful.spinners.ballots,,30.051453,31.191767
Adidas Steps - Ring Road,automate.scarred.married,,29.983963,31.321728
Adidas Steps - Ring Road,contoured.overdrive.drill,,29.984358,31.321825
Administrative Control Authority - Nozha,drama.cocktail.funky,,30.07768,31.33983
Administrative Control Authority - Nozha,otherwise.circus.slider,,30.077723,31.339565
Adminstration Of Mobilization And Recruitment,nags.putter.clocked,,30.106354,31.324015
Adminstration Of Mobilization And Recruitment,weaved.fuel.wove,,30.106451,31.324131
Afendina Dome - Manshiyat Nasser,browsers.bulb.lifeguard,,30.043367,31.277294
Afendina Dome - Manshiyat Nasser,twins.comically.skater,,30.043438,31.277155
Agouza Corniche,damp.flats.decorated,,30.046488,31.218107
Agouza Corniche,sublime.coil.strides,,30.04654,31.218218
Agouza Police Hospital,birdcage.assembles.forms,,30.052305,31.216717
Agouza Police Hospital,furniture.cultivation.kidney,,30.052334,31.216871
Agricultural Center - Badrasheen,strictest.walking.nicer,,29.851421,31.247364
